"EventId","ObjectId","TransactionStart","TransactionEnd","ResourceId","JourneyOutcome","PolicyId","UserJourneyId","ApplicationId"
"eff50ac3-5044-40c4-90f3-942c038b9752","00000000-0000-0000-0000-000000000000","2017-03-07T22:33:07Z","2017-03-07T22:33:07Z","OAUTH2/AUTHORIZE","CallerError","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"769a9202-2388-4aec-80bb-8cca2c2634cf","00000000-0000-0000-0000-000000000000","2017-03-07T22:27:39Z","2017-03-07T22:32:34Z","OAUTH2/AUTHORIZE","CallerError","b2c_1a_unified","SignUpOrSignIn","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"e310e01b-9d40-4b5e-bcee-fccf849797ad","00000000-0000-0000-0000-000000000000","2017-03-07T22:32:32Z","2017-03-07T22:32:32Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"5d2534fd-f704-4fe9-b2d0-84b4d0301383","00000000-0000-0000-0000-000000000000","2017-03-07T22:32:30Z","2017-03-07T22:32:30Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"40d31cca-c5ce-4880-93e1-8c7bbae3c072","00000000-0000-0000-0000-000000000000","2017-03-07T22:28:41Z","2017-03-07T22:28:41Z","DISCOVERY/KEYS","Success","b2c_1_loc","B2CSignUpOrSignInWithPassword","00000000-0000-0000-0000-000000000000"
"c5b1498f-99a0-435f-b06f-6e96bde7ad74","00000000-0000-0000-0000-000000000000","2017-03-07T22:27:35Z","2017-03-07T22:27:35Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"4c037b72-81ed-48b7-a4bb-8cde1e4c6e3c","00000000-0000-0000-0000-000000000000","2017-03-07T22:27:33Z","2017-03-07T22:27:33Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"1151de64-6d5d-4e65-afe4-dae6fda093b7","00000000-0000-0000-0000-000000000000","2017-03-07T22:25:08Z","2017-03-07T22:25:08Z","OAUTH2/AUTHORIZE","CallerError","b2c_1a_unified","SignUpOrSignIn","ae765f42-3e49-4dcb-9a52-c8ec96361e5c"
"ae183a10-cf31-4d7d-8823-adcff5e5e639","00000000-0000-0000-0000-000000000000","2017-03-07T22:25:06Z","2017-03-07T22:25:06Z","DISCOVERY/KEYS","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"0fedc182-3d90-4c6e-b52f-c3da6ad1f55e","00000000-0000-0000-0000-000000000000","2017-03-07T22:25:04Z","2017-03-07T22:25:04Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_unified","SignUpOrSignIn","00000000-0000-0000-0000-000000000000"
"1723ec71-c11e-427c-b0cc-632ce92e6db2","38ca94fe-8e32-4dd3-a561-df71b455e5fc","2017-03-07T12:14:05Z","2017-03-07T12:19:29Z","OAUTH2/AUTHORIZE","Success","b2c_1a_profile_update","ProfileUpdate","bba12307-3665-4479-8e02-9a6bbf4e2e4d"
"51095b11-e48c-4cf9-8af5-5bd6906a0502","00000000-0000-0000-0000-000000000000","2017-03-07T12:14:03Z","2017-03-07T12:14:03Z","DISCOVERY/KEYS","Success","b2c_1a_profile_update","ProfileUpdate","00000000-0000-0000-0000-000000000000"
"a2ccfbeb-9d33-4e33-a9d4-065cd2d17a8b","00000000-0000-0000-0000-000000000000","2017-03-07T12:14:01Z","2017-03-07T12:14:01Z","WELL-KNOWN/OPENID-CONFIGURATION","Success","b2c_1a_profile_update","ProfileUpdate","00000000-0000-0000-0000-000000000000"
